x;y;ex;ey
58;9.279166667;0.002864789;0.005729578
59.33333333;10.375;0.002864789;0.005729578
61;11.65833333;0.002864789;0.005729578
56.33333333;7.879166667;0.002864789;0.005729578
55;6.5375;0.002864789;0.005729578
53;4.416666667;0.002864789;0.005729578
51.33333333;2.679166667;0.002864789;0.005729578
50;1.091666667;0.002864789;0.005729578
48.33333333;1.008333333;0.002864789;0.005729578
46;4.175;0.002864789;0.005729578
