X;y;ex;ey
55;4.504166667;0.002864789;0.005729578
56;5.691666667;0.002864789;0.005729578
58;7.2375;0.002864789;0.005729578
59;8.566666667;0.002864789;0.005729578
61;9.95;0.002864789;0.005729578
53;2.366666667;0.002864789;0.005729578
51;0.383333333;0.002864789;0.005729578
50;1.1875;0.002864789;0.005729578
48;3.441666667;0.002864789;0.005729578
46;6.875;0.002864789;0.005729578
